IATA,AIRPORT,CITY,STATE,COUNTRY
AKN,King Salmon Updated,King Salmon,AK,USA
BFL,Meadows New,Bakersfield,CA,USA
STX,Henry E. Rohlsen ,Christiansted,VI,USA
SUN,Friedman Memorial,Hailey,ID,USA
SUX,Sioux Gateway ,Sioux City,IA,USA
SWF,Stewart,Newburgh,NY,USA
SYR,Syracuse-Hancock Intl,Syracuse,NY,USA
TEX,Telluride Regional,Telluride,CO,USA
TLH,Tallahassee Regional,Tallahassee,FL,USA
TOL,Toledo Express,Toledo,OH,USA
TRI,Tri-Cities Regional,Bristol,TN,USA
TTN,Trenton-Mercer County ,Trenton,NJ,USA
TUP,Tupelo Municipal ,Tupelo,MS,USA
TVC,Cherry Capital,Traverse City,MI,USA
TWF,Joslin Field - Magic Valley,Twin Falls,ID,USA
TXK,Texarkana Regional-Webb ,Texarkana,AR,USA
TYR,Tyler Pounds ,Tyler,TX,USA
TYS,McGhee-Tyson,Knoxville,TN,USA
VEL,Vernal,Vernal,UT,USA
VLD,Valdosta Regional,Valdosta,GA,USA
VPS,Eglin Air Force Base,Valparaiso,FL,USA
WRG,Wrangell,Wrangell,AK,USA
WYS,Yellowstone,West Yellowstone,MT,USA
XNA,Northwest Arkansas Regional,Fayetteville Springdale Rogers,AR,USA
YAK,Yakutat,Yakutat,AK,USA
YUM,Yuma MCAS-Yuma International,Yuma,AZ,USA
